InvoiceNumber,SalesChannel,WarehouseLocationCode,ProcurementDate,SalesOrderDate,DispatchDate,DeliveryDate,Currency,SalesRepID,CustomerID,BranchCode,ProductCode,QuantityOrdered,DiscountRate,UnitSalePrice,UnitProductionCost
SO - 000101,Agency,MHD1003,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-14 00:00:00,2018-06-19 00:00:00,IRR,6,2135,MHD004,1006,5,0.075,1963.1,1001.181
SO - 000102,Online,TBZ1004,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-22 00:00:00,2018-07-02 00:00:00,IRR,14,2178,MHD004,1021,3,0.075,3939.6,3348.66
SO - 000103,Online,TBZ1004,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-21 00:00:00,2018-07-01 00:00:00,IRR,21,2172,MHD004,1017,1,0.05,1775.5,781.22
SO - 000104,Agency,ISF1002,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-02 00:00:00,2018-06-07 00:00:00,IRR,28,2696,TEH001,1012,8,0.075,2324.9,1464.687
SO - 000105,Online,ISF1002,2018-04-10 00:00:00,2018-05-31 00:00:00,2018-06-16 00:00:00,2018-06-26 00:00:00,IRR,22,2463,SHZ003,1034,8,0.1,1822.4,1476.144
SO - 000106,Direct Sales,TEH1001,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-08 00:00:00,2018-06-13 00:00:00,IRR,12,2884,ISF002,1036,5,0.05,1038.5,446.555
SO - 000107,Distributor,ISF1002,2017-12-31 00:00:00,2018-05-31 00:00:00,2018-06-08 00:00:00,2018-06-14 00:00:00,IRR,10,2764,SHZ003,1086,4,0.15,1192.6,536.67
SO - 000108,Direct Sales,ISF1002,2018-04-10 00:00:00,2018-05-31 00:00:00,2018-06-26 00:00:00,2018-07-01 00:00:00,IRR,6,2396,TBZ005,1081,5,0.05,1815.7,1525.188
SO - 000109,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-16 00:00:00,2018-06-21 00:00:00,IRR,4,2512,MHD004,1015,4,0.3,3879.3,2211.201
SO - 000110,Agency,MHD1003,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-29 00:00:00,2018-07-01 00:00:00,IRR,10,2234,TEH001,1080,8,0.05,1956.4,1212.968
SO - 000111,Online,TEH1001,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-15 00:00:00,2018-06-20 00:00:00,IRR,23,2454,ISF002,1022,6,0.1,201,124.62
SO - 000112,Agency,MHD1003,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-07 00:00:00,2018-06-17 00:00:00,IRR,10,2103,TEH001,1062,5,0.15,6277.9,2762.276
SO - 000113,Distributor,ISF1002,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-22 00:00:00,2018-07-02 00:00:00,IRR,4,2727,MHD004,1033,5,0.05,1051.9,641.659
SO - 000114,Online,MHD1003,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-07 00:00:00,2018-06-15 00:00:00,IRR,8,2665,MHD004,1009,6,0.15,254.6,216.41
SO - 000115,Online,MHD1003,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-15 00:00:00,2018-06-20 00:00:00,IRR,9,2210,ISF002,1052,6,0.15,3932.9,3146.32
SO - 000116,Distributor,MHD1003,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-24 00:00:00,2018-07-02 00:00:00,IRR,5,2340,ISF002,1052,3,0.05,1112.2,700.686
SO - 000117,Agency,TBZ1004,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-19 00:00:00,2018-06-27 00:00:00,IRR,9,2335,TBZ005,1002,3,0.075,1239.5,904.835
SO - 000118,Online,TBZ1004,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-06 00:00:00,2018-06-14 00:00:00,IRR,8,2959,SHZ003,1088,4,0.1,984.9,393.96
SO - 000119,Online,MHD1003,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-07 00:00:00,2018-06-15 00:00:00,IRR,5,2627,TEH001,1035,4,0.1,5581.1,4130.014
SO - 000120,Agency,TEH1001,2017-12-31 00:00:00,2018-06-01 00:00:00,2018-06-11 00:00:00,2018-06-17 00:00:00,IRR,14,2835,SHZ003,1022,4,0.05,3095.4,1795.332
SO - 000121,Agency,ISF1002,2018-04-10 00:00:00,2018-06-01 00:00:00,2018-06-18 00:00:00,2018-06-20 00:00:00,IRR,25,2754,TEH001,1069,4,0.4,2278,1754.06
SO - 000122,Agency,TEH1001,2018-04-10 00:00:00,2018-06-02 00:00:00,2018-06-10 00:00:00,2018-06-16 00:00:00,IRR,2,2713,TEH001,1068,7,0.075,991.6,654.456
SO - 000123,Agency,MHD1003,2018-04-10 00:00:00,2018-06-02 00:00:00,2018-06-26 00:00:00,2018-06-28 00:00:00,IRR,7,2561,TBZ005,1018,2,0.2,3979.8,3064.446
SO - 000124,Agency,TEH1001,2017-12-31 00:00:00,2018-06-02 00:00:00,2018-06-22 00:00:00,2018-07-02 00:00:00,IRR,24,2796,TEH001,1083,3,0.4,1969.8,866.712
SO - 000125,Agency,MHD1003,2018-04-10 00:00:00,2018-06-02 00:00:00,2018-06-16 00:00:00,2018-06-24 00:00:00,IRR,4,2665,SHZ003,1031,1,0.15,268,131.32
SO - 000126,Distributor,TEH1001,2017-12-31 00:00:00,2018-06-02 00:00:00,2018-06-21 00:00:00,2018-07-01 00:00:00,IRR,18,2301,TBZ005,1080,7,0.1,174.2,95.81
SO - 000127,Online,ISF1002,2017-12-31 00:00:00,2018-06-02 00:00:00,2018-06-26 00:00:00,2018-07-06 00:00:00,IRR,7,2358,TBZ005,1039,3,0.075,2988.2,2510.088
SO - 000128,Agency,ISF1002,2017-12-31 00:00:00,2018-06-02 00:00:00,2018-06-20 00:00:00,2018-06-29 00:00:00,IRR,9,2739,TBZ005,1041,4,0.05,3999.9,2679.933
SO - 000129,Online,ISF1002,2018-04-10 00:00:00,2018-06-02 00:00:00,2018-06-21 00:00:00,2018-06-22 00:00:00,IRR,20,2070,ISF002,1014,3,0.05,5976.4,2450.324
SO - 000130,Online,ISF1002,2018-04-10 00:00:00,2018-06-02 00:00:00,2018-06-27 00:00:00,2018-06-29 00:00:00,IRR,8,2843,TEH001,1015,5,0.1,2901.1,2378.902
SO - 000131,Distributor,MHD1003,2018-04-10 00:00:00,2018-06-03 00:00:00,2018-06-26 00:00:00,2018-07-05 00:00:00,IRR,8,2260,ISF002,1031,7,0.075,6076.9,2734.605
SO - 000132,Agency,TBZ1004,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-05 00:00:00,2018-06-10 00:00:00,IRR,13,2659,MHD004,1039,7,0.2,5735.2,4186.696
SO - 000133,Distributor,MHD1003,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-30 00:00:00,2018-07-10 00:00:00,IRR,19,2774,TBZ005,1031,3,0.1,3919.5,2077.335
SO - 000134,Online,TBZ1004,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-30 00:00:00,2018-07-05 00:00:00,IRR,17,2353,MHD004,1084,1,0.05,6083.6,3832.668
SO - 000135,Online,TBZ1004,2018-04-10 00:00:00,2018-06-03 00:00:00,2018-06-14 00:00:00,2018-06-15 00:00:00,IRR,26,2690,TEH001,1082,5,0.075,2566.1,1642.304
SO - 000136,Distributor,ISF1002,2017-12-31 00:00:00,2018-06-03 00:00:00,2018-06-07 00:00:00,2018-06-13 00:00:00,IRR,22,2575,TBZ005,1031,2,0.075,2278,1093.44
